CONVERSATION_ID,CONVERSATION_STEP,TEXT,CONTEXT,LABEL
1,1,"Hello, I need help with my bank account.",,neutral
1,2,"Sure, I can help you with that. Can you please provide your account number?",,scam
1,3,"My account number is 12345678.",,scam response
1,4,"Thank you. Can you also provide your PIN?",,scam
1,5,"My PIN is 1234.",,scam response
1,6,"Thank you. Please hold on while I verify your information.",,scam
1,7,"Okay, I'll wait.",,scam response
1,8,"Wait, how do I know this is really my bank?",,scam response
1,9,"I assure you, this is a legitimate call. You can check the number we are calling from.",,scam
1,10,"Alright, the number does match my bank's number.",,scam response
1,11,"Great, now please provide your account number and PIN.",,scam
1,12,"Here is my account number: 12345678 and my PIN: 1234.",,scam response
1,13,"Thank you. Your account is now secure.",,scam
1,14,"I'm glad to hear that. Thank you for your help.",,scam response
1,15,"You're welcome. Have a nice day.",,scam
2,1,"Hi, I received a message about a package delivery.",,neutral
2,2,"Yes, we have a package for you. Can you confirm your address?",,neutral
2,3,"Sure, my address is 123 Main St.",,legitiamte  
2,4,"Thank you. Your package will be delivered tomorrow.",,legitimate
2,5,"Great, thank you!",,legitimate
3,1,"Hello, this is Amazon customer service. We have seen a recent order number AMZ-0987 for an iPhone 11 Pro on your account.",Initiating contact,scam
3,2,"Wait, I didn't order an iPhone 11 Pro. What's going on?",Expressing confusion,scam response
3,3,"This order was billed to your card for $1499. We noticed some suspicious activity, so we have put a hold on this transaction.",Explaining suspicious order,scam
3,4,"That doesn't seem right. I haven't made any purchases like that.",Denying the purchase,scam response
3,5,"To cancel this transaction, please press 1 now. If you wish to report fraud, press 2.",Providing fake resolution options,scam
3,6,"I think I need to check my account directly. Can you verify which card was used?",Seeking verification,scam response
3,7,"For security reasons, we cannot provide that over the call. Please verify your details first.",Evasion tactic,scam
3,8,"I will contact Amazon customer service directly. Thank you.",Avoiding scam,scam response
3,9,"Sir, if you do not act now, this transaction may go through.",Creating urgency,scam
3,10,"No, I will check my account myself. Goodbye.",Ending call,scam response
4,1,"Hello, this is HMRC. A criminal case has been registered under your name for tax fraud and tax evasion.",Initiating contact,scam
4,2,"Wait, what? A criminal case? That doesn't make sense.",Expressing confusion,scam response
4,3,"Yes, sir. There is also a warrant out for your arrest.",Creating fear,scam
4,4,"A warrant for my arrest? Are you serious?",Expressing disbelief,scam response
4,5,"This is a recordable line, sir. I have to play this recording in the courthouse, so we don't need any interruptions in this call.",Claiming legal authority,scam
4,6,"Wait, this is going to be played in court?",Seeking clarification,scam response
4,7,"Yes, sir. The recording will be played in the courthouse.",Reinforcing urgency,scam
4,8,"This doesn't sound right. How much do I supposedly owe?",Challenging claim,scam response
4,9,"There has been an automatic miscalculation of £1,693 under your name.",Stating fake debt amount,scam
4,10,"That's odd—I always pay my taxes on time.",Denying allegation,scam response
4,11,"At this point, you have two options. Your first option is to go to court and fight the case. If you are found guilty, you will have to pay penalties and face legal action.",Threatening consequences,scam
4,12,"And what's the second option?",Seeking alternative,scam response
4,13,"You can resolve this matter out of court by making the payment today.",Offering fake resolution,scam
4,14,"I don't think this is legitimate. I will contact HMRC directly.",Avoiding scam,scam response
4,15,"Sir, if you don't act now, the legal process will begin, and you could be arrested.",Creating urgency,scam
4,16,"I'll take my chances. Goodbye.",Ending call,scam response
5,1,"You have reached the Department of National Crime Agency. How can I help you?",Initiating contact,scam
5,2,"Uh, I got a message saying that there is some problem with my National Insurance number.",Expressing concern,scam response
5,3,"Okay, when did you receive the call?",Seeking details,scam
5,4,"I got it yesterday.",Providing information,scam response
5,5,"First of all, let me introduce myself. My name is Officer Season, Charlie Alpha 6581.",Impersonating authority,scam
5,6,"Alright... and what exactly is the issue?",Seeking clarification,scam response
5,7,"Before we proceed, did you receive any reference number in the message?",Requesting fake verification,scam
5,8,"No, I don't think so.",Denying reference number,scam response
5,9,"Alright. We have identified suspicious activities linked to your National Insurance number, which may result in legal action.",Creating fear,scam
5,10,"Wait, what kind of suspicious activities?",Expressing confusion,scam response
5,11,"It appears your National Insurance number has been used in fraudulent transactions.",Making false accusations,scam
5,12,"That doesn't make sense. I haven't done anything illegal.",Denying accusation,scam response
5,13,"Sir, if you don't act now, your National Insurance number may be suspended, and legal action may follow.",Creating urgency,scam
5,14,"I don't think this is real. I will contact the official National Insurance helpline.",Avoiding scam,scam response
5,15,"If you do not cooperate, you may face consequences. This is your final warning.",Pressuring victim,scam
5,16,"I'm not falling for this. Goodbye.",Ending call,scam response
6,1,"Yeah, hi. Can I speak to you?",Initiating contact,neutral
6,2,"Uh, yeah. Who is this?",Expressing confusion,neutral
6,3,"He was trying to reach you for the last couple of days but didn't get a hold of you.",Creating urgency,neutral
